Rank,Word,Percent,Cumulative
132,stop,0.11567613555793213,34.95100621456316
133,might,0.11488060818809526,35.06588682275125
134,state,0.11295278931056095,35.178839612061815
135,without,0.11293013539243714,35.29176974745425
136,keep,0.11221554841582096,35.40398529587007
137,anything,0.11164797547099156,35.515633271341066
138,night,0.11130880942415414,35.62694208076522
139,while,0.1105222505065909,35.73746433127181
140,better,0.10956913395857963,35.84703346523039
141,show,0.10955700581129728,35.956590471041686
142,kill,0.10782795991591539,36.0644184309576
143,number,0.10764171175092888,36.17206014270853
144,men,0.10679823918666216,36.27885838189519
145,start,0.10288084767856834,36.38173922957376
146,change,0.10242251388391645,36.484161743457676
147,around,0.10225334412933873,36.586415087587014
148,told,0.10179977241076911,36.688214859997785
149,left,0.10163186440231914,36.78984672440011
150,end,0.10070234674235062,36.89054907114246
